availableDates,email,firstName,lastName,country
2017-05-29,mmottern@codingtemple.com,Meta,Mottern,United States
2017-05-29,msoult@codingtemple.com,Melvin,Soult,United States
2017-05-29,mvirgel@codingtemple.com,Maggie,Virgel,United States
2017-05-29,pdougherty@codingtemple.com,Phung,Dougherty,United States
2017-05-29,rketring@codingtemple.com,Rebbeca,Ketring,United States
2017-05-29,sbeemon@codingtemple.com,Shaunta,Beemon,United States
2017-05-29,sdegunya@codingtemple.com,Suzan,Degunya,United States
2017-05-29,ssheahan@codingtemple.com,Shanna,Sheahan,United States
2017-05-30,bwatton@codingtemple.com,Britt,Watton,United States
2017-05-30,ccafaro@codingtemple.com,Casey,Cafaro,United States
2017-05-30,hpolitte@codingtemple.com,Hans,Politte,United States
2017-05-30,sskinnen@codingtemple.com,Stacy,Skinnen,United States
2017-05-31,bwatton@codingtemple.com,Britt,Watton,United States
2017-05-31,ccafaro@codingtemple.com,Casey,Cafaro,United States
2017-05-31,fcragin@codingtemple.com,Felicita,Cragin,United States
2017-05-31,hpolitte@codingtemple.com,Hans,Politte,United States
2017-05-31,jglosson@codingtemple.com,Jude,Glosson,United States
2017-05-31,lskeeters@codingtemple.com,Lanie,Skeeters,United States
2017-05-31,mlacau@codingtemple.com,Merilyn,Lacau,United States
2017-05-31,mmottern@codingtemple.com,Meta,Mottern,United States
2017-05-31,ssheahan@codingtemple.com,Shanna,Sheahan,United States
2017-05-31,szenger@codingtemple.com,Soraya,Zenger,United States
2017-06-01,bleeks@codingtemple.com,Bong,Leeks,United States
2017-06-01,bwatton@codingtemple.com,Britt,Watton,United States
2017-06-01,dbelgrave@codingtemple.com,Donny,Belgrave,United States
2017-06-01,fcragin@codingtemple.com,Felicita,Cragin,United States
2017-06-01,hpolitte@codingtemple.com,Hans,Politte,United States
2017-06-01,jglosson@codingtemple.com,Jude,Glosson,United States
2017-06-01,mlacau@codingtemple.com,Merilyn,Lacau,United States
2017-06-01,mmottern@codingtemple.com,Meta,Mottern,United States
2017-06-01,msoult@codingtemple.com,Melvin,Soult,United States
2017-06-01,nkobbe@codingtemple.com,Nada,Kobbe,United States
2017-06-01,pdougherty@codingtemple.com,Phung,Dougherty,United States
2017-06-01,rketring@codingtemple.com,Rebbeca,Ketring,United States
2017-06-01,sdegunya@codingtemple.com,Suzan,Degunya,United States
2017-06-01,ssheahan@codingtemple.com,Shanna,Sheahan,United States
2017-06-02,afernadez@codingtemple.com,Aaron,Fernadez,United States
2017-06-02,bleeks@codingtemple.com,Bong,Leeks,United States
2017-06-02,bwatton@codingtemple.com,Britt,Watton,United States
2017-06-02,ccafaro@codingtemple.com,Casey,Cafaro,United States
2017-06-02,eomersa@codingtemple.com,Ester,Omersa,United States
2017-06-02,jmasher@codingtemple.com,Jeremiah,Masher,United States
2017-06-02,lsolid@codingtemple.com,Luna,Solid,United States
2017-06-02,mlacau@codingtemple.com,Merilyn,Lacau,United States
2017-06-02,mmottern@codingtemple.com,Meta,Mottern,United States
2017-06-02,msoult@codingtemple.com,Melvin,Soult,United States
2017-06-02,mvirgel@codingtemple.com,Maggie,Virgel,United States
2017-06-02,pdougherty@codingtemple.com,Phung,Dougherty,United States
2017-06-02,rketring@codingtemple.com,Rebbeca,Ketring,United States
2017-06-02,sbeemon@codingtemple.com,Shaunta,Beemon,United States
2017-06-02,sdegunya@codingtemple.com,Suzan,Degunya,United States
2017-06-02,ssheahan@codingtemple.com,Shanna,Sheahan,United States
2017-06-03,afernadez@codingtemple.com,Aaron,Fernadez,United States
2017-06-03,bleeks@codingtemple.com,Bong,Leeks,United States
2017-06-03,bwatton@codingtemple.com,Britt,Watton,United States
2017-06-03,ccafaro@codingtemple.com,Casey,Cafaro,United States
2017-06-03,eomersa@codingtemple.com,Ester,Omersa,United States
2017-06-03,jmasher@codingtemple.com,Jeremiah,Masher,United States
2017-06-03,lsolid@codingtemple.com,Luna,Solid,United States
2017-06-03,mlacau@codingtemple.com,Merilyn,Lacau,United States
2017-06-03,mmottern@codingtemple.com,Meta,Mottern,United States
2017-06-03,msoult@codingtemple.com,Melvin,Soult,United States
2017-06-03,mvirgel@codingtemple.com,Maggie,Virgel,United States
2017-06-03,pdougherty@codingtemple.com,Phung,Dougherty,United States
2017-06-03,rketring@codingtemple.com,Rebbeca,Ketring,United States
2017-06-03,sbeemon@codingtemple.com,Shaunta,Beemon,United States
2017-06-03,sdegunya@codingtemple.com,Suzan,Degunya,United States
2017-06-03,ssheahan@codingtemple.com,Shanna,Sheahan,United States
2017-06-06,mmottern@codingtemple.com,Meta,Mottern,United States
2017-06-07,fcragin@codingtemple.com,Felicita,Cragin,United States
2017-06-08,lskeeters@codingtemple.com,Lanie,Skeeters,United States
2017-06-08,sbeemon@codingtemple.com,Shaunta,Beemon,United States
2017-06-09,rbreznay@codingtemple.com,Robbyn,Breznay,United States
2017-06-09,sbeemon@codingtemple.com,Shaunta,Beemon,United States
